date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:59:32	304575/304575	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Dec%202023%2013:59:32%20GMT	https://portotheme.com/html/wolmart/demo3.html	D:/html_download/full%20ecom%205/portotheme.com/html/wolmart/demo3.html	(from )
19:59:32	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2028%20Dec%202023%2013:59:32%20GMT	https://portotheme.com/robots.txt		(from )
19:59:32	4687/4687	---M--	200	added ('OK')	image/png	date:Sun,%2003%20Oct%202021%2006:29:41%20GMT	https://portotheme.com/html/wolmart/assets/images/icons/favicon.png	D:/html_download/full%20ecom%205/portotheme.com/html/wolmart/assets/images/icons/favicon.png	(from https://portotheme.com/html/wolmart/demo3.html)
19:59:32	13221/13221	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2003%20Oct%202021%2006:29:42%20GMT	https://portotheme.com/html/wolmart/assets/js/webfont.js	D:/html_download/full%20ecom%205/portotheme.com/html/wolmart/assets/js/webfont.js	(from https://portotheme.com/html/wolmart/demo3.html)
19:59:33	13552/13552	---M-Z	200	added ('OK')	font/woff2	date:Sun,%2003%20Oct%202021%2006:29:41%20GMT	https://portotheme.com/html/wolmart/assets/vendor/fontawesome-free/webfonts/fa-regular-400.woff2	D:/html_download/full%20ecom%205/portotheme.com/html/wolmart/assets/vendor/fontawesome-free/webfonts/fa-regular-400.woff2	(from https://portotheme.com/html/wolmart/demo3.html)
19:59:33	74256/74256	---MCZ	200	added ('OK')	font/woff2	date:Sun,%2003%20Oct%202021%2006:29:41%20GMT	https://portotheme.com/html/wolmart/assets/vendor/fontawesome-free/webfonts/fa-solid-900.woff2	D:/html_download/full%20ecom%205/portotheme.com/html/wolmart/assets/vendor/fontawesome-free/webfonts/fa-solid-900.woff2	(from https://portotheme.com/html/wolmart/demo3.html)
19:59:33	74768/74768	---MCZ	200	added ('OK')	font/woff2	date:Sun,%2003%20Oct%202021%2006:29:41%20GMT	https://portotheme.com/html/wolmart/assets/vendor/fontawesome-free/webfonts/fa-brands-400.woff2	D:/html_download/full%20ecom%205/portotheme.com/html/wolmart/assets/vendor/fontawesome-free/webfonts/fa-brands-400.woff2	(from https://portotheme.com/html/wolmart/demo3.html)
19:59:33	68172/68172	---MCZ	200	added ('OK')	font/woff	date:Sun,%2003%20Oct%202021%2006:29:41%20GMT	https://portotheme.com/html/wolmart/assets/fonts/wolmart.woff?png09e	D:/html_download/full%20ecom%205/portotheme.com/html/wolmart/assets/fonts/wolmart87d5.woff	(from https://portotheme.com/html/wolmart/demo3.html)
19:59:33	55111/55111	---M-Z	200	added ('OK')	text/css	date:Sun,%2003%20Oct%202021%2006:29:41%20GMT	https://portotheme.com/html/wolmart/assets/vendor/fontawesome-free/css/all.min.css	D:/html_download/full%20ecom%205/portotheme.com/html/wolmart/assets/vendor/fontawesome-free/css/all.min.css	(from https://portotheme.com/html/wolmart/demo3.html)
19:59:34	13871/13871	---M-Z	200	added ('OK')	text/css	date:Sun,%2003%20Oct%202021%2006:29:41%20GMT	https://portotheme.com/html/wolmart/assets/vendor/swiper/swiper-bundle.min.css	D:/html_download/full%20ecom%205/portotheme.com/html/wolmart/assets/vendor/swiper/swiper-bundle.min.css	(from https://portotheme.com/html/wolmart/demo3.html)
19:59:34	57987/57987	---M-Z	200	added ('OK')	text/css	date:Sun,%2003%20Oct%202021%2006:29:41%20GMT	https://portotheme.com/html/wolmart/assets/vendor/animate/animate.min.css	D:/html_download/full%20ecom%205/portotheme.com/html/wolmart/assets/vendor/animate/animate.min.css	(from https://portotheme.com/html/wolmart/demo3.html)
19:59:34	5724/5724	---M-Z	200	added ('OK')	text/css	date:Sun,%2003%20Oct%202021%2006:29:41%20GMT	https://portotheme.com/html/wolmart/assets/vendor/magnific-popup/magnific-popup.min.css	D:/html_download/full%20ecom%205/portotheme.com/html/wolmart/assets/vendor/magnific-popup/magnific-popup.min.css	(from https://portotheme.com/html/wolmart/demo3.html)
